linhagem,tempo,censura,simbionte
J4,6,0,Ausência
J4,6,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,8,0,Ausência
J4,6,1,Ausência
J4,7,0,Ausência
J4,9,0,Ausência
J4,11,0,Ausência
J4,11,0,Ausência
J4,11,0,Ausência
J4,13,0,Ausência
J4,2,1,Ausência
J4,3,1,Ausência
J4,3,1,Ausência
J4,3,1,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,9,0,Ausência
J4,11,0,Ausência
J4,13,0,Ausência
J4,1,1,Ausência
J4,5,1,Ausência
J4,6,1,Ausência
J4,8,0,Ausência
J4,9,0,Ausência
J4,9,0,Ausência
J4,9,0,Ausência
J4,9,0,Ausência
J4,11,0,Ausência
J4,11,0,Ausência
J4,2,1,Ausência
J4,3,1,Ausência
J4,3,1,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,9,0,Ausência
J4,4,1,Ausência
J4,4,1,Ausência
J4,4,1,Ausência
J4,4,1,Ausência
J4,4,1,Ausência
J4,5,1,Ausência
J4,5,1,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,9,0,Ausência
J4,6,0,Ausência
J4,6,0,Ausência
J4,6,0,Ausência
J4,6,0,Ausência
J4,7,0,Ausência
J4,9,0,Ausência
J4,10,0,Ausência
J4,13,0,Ausência
J4,15,0,Ausência
J4,4,1,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,10,0,Ausência
J4,10,0,Ausência
J4,11,0,Ausência
J4,11,0,Ausência
J4,11,0,Ausência
J4,5,1,Ausência
J4,6,1,Ausência
J4,6,1,Ausência
J4,8,0,Ausência
J4,9,0,Ausência
J4,3,1,Ausência
J4,3,1,Ausência
J4,3,1,Ausência
J4,3,1,Ausência
J4,3,1,Ausência
J4,5,1,Ausência
J4,5,1,Ausência
J4,5,1,Ausência
J4,6,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,9,0,Ausência
J4,10,0,Ausência
J4,4,1,Ausência
J4,4,1,Ausência
J4,6,0,Ausência
J4,6,0,Ausência
J4,6,0,Ausência
J4,6,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,8,0,Ausência
J4,10,0,Ausência
J4,6,0,Ausência
J4,6,0,Ausência
J4,6,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,4,1,Ausência
J4,4,1,Ausência
J4,4,1,Ausência
J4,11,0,Ausência
J4,11,0,Ausência
J4,11,0,Ausência
J4,13,0,Ausência
J4,13,0,Ausência
J4,13,0,Ausência
J4,9,1,Ausência
J4,9,1,Ausência
J4,9,1,Ausência
J4,9,1,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,9,0,Ausência
J4,6,1,Ausência
J4,6,1,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,7,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,8,0,Ausência
J4,1,1,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,10,0,Ausência
MP17,10,0,Ausência
MP17,10,0,Ausência
MP17,1,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,2,1,Ausência
MP17,2,1,Ausência
MP17,2,1,Ausência
MP17,3,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,3,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,3,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,4,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,4,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,2,1,Ausência
MP17,2,1,Ausência
MP17,2,1,Ausência
MP17,2,1,Ausência
MP17,3,1,Ausência
MP17,3,1,Ausência
MP17,3,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,3,1,Ausência
MP17,3,1,Ausência
MP17,3,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,4,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,2,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,3,1,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,10,0,Ausência
MP17,11,0,Ausência
MP17,11,0,Ausência
MP17,14,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,10,0,Ausência
MP17,11,0,Ausência
MP17,12,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,9,0,Ausência
MP17,9,0,Ausência
MP17,6,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,7,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
MP17,8,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,9,0,Ausência
P6,10,0,Ausência
P6,10,0,Ausência
P6,10,0,Ausência
P6,10,0,Ausência
P6,3,1,Ausência
P6,7,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,9,0,Ausência
P6,9,0,Ausência
P6,10,0,Ausência
P6,3,1,Ausência
P6,4,1,Ausência
P6,4,1,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,8,0,Ausência
P6,1,1,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,11,0,Ausência
P6,3,1,Ausência
P6,3,1,Ausência
P6,3,1,Ausência
P6,3,1,Ausência
P6,6,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,1,1,Ausência
P6,1,1,Ausência
P6,1,1,Ausência
P6,1,1,Ausência
P6,3,1,Ausência
P6,3,1,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,1,1,Ausência
P6,5,1,Ausência
P6,5,1,Ausência
P6,5,1,Ausência
P6,5,1,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,6,0,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,5,1,Ausência
P6,5,1,Ausência
P6,7,0,Ausência
P6,11,0,Ausência
P6,11,0,Ausência
P6,11,0,Ausência
P6,11,0,Ausência
P6,1,1,Ausência
P6,1,1,Ausência
P6,1,1,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,6,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,10,0,Ausência
P6,11,0,Ausência
P6,11,0,Ausência
P6,11,0,Ausência
P6,11,0,Ausência
P6,4,1,Ausência
P6,4,1,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,9,0,Ausência
P6,10,0,Ausência
P6,10,0,Ausência
P6,2,1,Ausência
P6,3,1,Ausência
P6,3,1,Ausência
P6,3,1,Ausência
P6,7,0,Ausência
P6,9,0,Ausência
P6,9,0,Ausência
P6,9,0,Ausência
P6,9,0,Ausência
P6,11,0,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,7,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,7,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,10,0,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,2,1,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,6,0,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,7,0,Ausência
P6,8,0,Ausência
P6,9,0,Ausência
P6,2,1,Ausência
P6,3,1,Ausência
P10,8,0,Rick
P10,8,0,Rick
P10,8,0,Rick
P10,9,0,Rick
P10,9,0,Rick
P10,9,0,Rick
P10,9,0,Rick
P10,10,0,Rick
P10,11,0,Rick
P10,13,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,8,0,Rick
P10,8,0,Rick
P10,8,0,Rick
P10,1,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,1,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,5,0,Rick
P10,7,0,Rick
P10,10,0,Rick
P10,10,0,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,6,1,Rick
P10,6,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,10,0,Rick
P10,13,0,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,3,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,8,0,Rick
P10,5,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,5,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,8,0,Rick
P10,9,0,Rick
P10,9,0,Rick
P10,9,0,Rick
P10,10,0,Rick
P10,12,0,Rick
P10,12,0,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,3,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,9,0,Rick
P10,9,0,Rick
P10,10,0,Rick
P10,2,1,Rick
P10,2,1,Rick
P10,2,1,Rick
P10,2,1,Rick
P10,6,0,Rick
P10,6,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,7,0,Rick
P10,8,0,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,1,1,Rick
P10,2,1,Rick
P12,7,0,Rick
P12,7,0,Rick
P12,7,0,Rick
P12,7,0,Rick
P12,7,0,Rick
P12,7,0,Rick
P12,7,0,Rick
P12,1,1,Rick
P12,1,1,Rick
P12,1,1,Rick
P12,6,0,Rick
P12,7,0,Rick
P12,7,0,Rick
P12,7,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,10,0,Rick
P12,10,0,Rick
P12,11,0,Rick
P12,14,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,9,0,Rick
P12,11,0,Rick
P12,11,0,Rick
P12,11,0,Rick
P12,12,0,Rick
P12,12,0,Rick
P12,12,0,Rick
P12,12,0,Rick
P12,12,0,Rick
P12,13,0,Rick
