linhagem,tempo,censura,simbionte
J4,20,1,Ausência
J4,14,1,Ausência
J4,32,1,Ausência
J4,18,1,Ausência
J4,11,1,Ausência
J4,14,1,Ausência
J4,16,1,Ausência
J4,17,1,Ausência
J4,20,1,Ausência
J4,2,1,Ausência
J4,21,1,Ausência
J4,19,1,Ausência
J4,13,1,Ausência
J4,10,1,Ausência
J4,14,1,Ausência
J4,15,1,Ausência
J4,13,1,Ausência
J4,16,1,Ausência
J4,20,1,Ausência
J4,22,1,Ausência
J4,16,1,Ausência
J4,19,1,Ausência
J4,15,1,Ausência
J4,10,1,Ausência
J4,14,1,Ausência
J4,13,1,Ausência
J4,13,1,Ausência
J4,14,1,Ausência
J4,25,1,Ausência
J4,9,1,Ausência
MP17,15,1,Ausência
MP17,24,1,Ausência
MP17,8,1,Ausência
MP17,24,1,Ausência
MP17,17,1,Ausência
MP17,21,1,Ausência
MP17,15,1,Ausência
MP17,8,1,Ausência
MP17,4,1,Ausência
MP17,12,1,Ausência
MP17,5,1,Ausência
MP17,26,1,Ausência
MP17,7,1,Ausência
MP17,7,1,Ausência
MP17,25,1,Ausência
MP17,16,1,Ausência
MP17,17,1,Ausência
MP17,25,1,Ausência
MP17,10,1,Ausência
MP17,11,1,Ausência
MP17,23,1,Ausência
MP17,25,1,Ausência
MP17,22,1,Ausência
MP17,16,1,Ausência
MP17,10,1,Ausência
MP17,24,1,Ausência
MP17,7,1,Ausência
MP17,21,1,Ausência
MP17,16,1,Ausência
MP17,7,1,Ausência
P6,16,1,Ausência
P6,16,1,Ausência
P6,14,1,Ausência
P6,15,1,Ausência
P6,17,1,Ausência
P6,18,1,Ausência
P6,23,1,Ausência
P6,24,1,Ausência
P6,21,1,Ausência
P6,14,1,Ausência
P6,14,1,Ausência
P6,10,1,Ausência
P6,10,1,Ausência
P6,5,1,Ausência
P6,7,1,Ausência
P6,24,1,Ausência
P6,14,1,Ausência
P6,7,1,Ausência
P6,24,1,Ausência
P6,5,1,Ausência
P6,5,1,Ausência
P6,11,1,Ausência
P6,15,1,Ausência
P6,15,1,Ausência
P6,6,1,Ausência
P6,17,1,Ausência
P6,10,1,Ausência
P6,15,1,Ausência
P6,9,1,Ausência
P6,13,1,Ausência
P10,11,1,Rick
P10,9,1,Rick
P10,11,1,Rick
P10,8,1,Rick
P10,14,1,Rick
P10,11,1,Rick
P10,14,1,Rick
P10,17,1,Rick
P10,28,1,Rick
P10,24,1,Rick
P10,10,1,Rick
P10,16,1,Rick
P10,8,1,Rick
P10,26,1,Rick
P10,14,1,Rick
P10,23,1,Rick
P10,8,1,Rick
P10,9,1,Rick
P10,20,1,Rick
P10,26,1,Rick
P10,10,1,Rick
P10,11,1,Rick
P10,10,1,Rick
P10,26,1,Rick
P10,25,1,Rick
P10,22,1,Rick
P10,11,1,Rick
P10,24,1,Rick
P10,22,1,Rick
P10,22,1,Rick
P12,7,1,Rick
P12,7,1,Rick
P12,11,1,Rick
P12,11,1,Rick
P12,18,1,Rick
P12,19,1,Rick
P12,17,1,Rick
P12,14,1,Rick
P12,26,1,Rick
P12,19,1,Rick
P12,9,1,Rick
P12,14,1,Rick
P12,20,1,Rick
P12,10,1,Rick
P12,14,1,Rick
P12,14,1,Rick
P12,20,1,Rick
P12,14,1,Rick
P12,22,1,Rick
P12,28,1,Rick
P12,16,1,Rick
P12,26,1,Rick
P12,18,1,Rick
P12,20,1,Rick
P12,14,1,Rick
P12,25,1,Rick
P12,7,1,Rick
P12,13,1,Rick
P12,15,1,Rick
P12,10,1,Rick
P52,24,1,Rick
P52,9,1,Rick
P52,22,1,Rick
P52,22,1,Rick
P52,20,1,Rick
P52,19,1,Rick
P52,36,1,Rick
P52,9,1,Rick
P52,20,1,Rick
P52,20,1,Rick
P52,14,1,Rick
P52,21,1,Rick
P52,13,1,Rick
P52,9,1,Rick
P52,9,1,Rick
P52,11,1,Rick
P52,16,1,Rick
P52,8,1,Rick
P52,20,1,Rick
P52,13,1,Rick
P52,14,1,Rick
P52,23,1,Rick
P52,6,1,Rick
P52,20,1,Rick
P52,6,1,Rick
P52,6,1,Rick
P52,9,1,Rick
P52,7,1,Rick
P52,20,1,Rick
P52,7,1,Rick
