linhagem,parasitismo,simbionte
P6,1,Ausência 
P6,0,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,0,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,0,Ausência 
P6,1,Ausência 
P6,0,Ausência 
P6,0,Ausência 
P6,0,Ausência 
P6,0,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,1,Ausência 
P6,0,Ausência 
P6,0,Ausência 
P6,0,Ausência 
P6,0,Ausência 
P6,0,Ausência 
P6,0,Ausência 
P6,0,Ausência 
PA,1,Rick
PA,1,Rick
PA,1,Rick
PA,1,Rick
PA,1,Rick
PA,0,Rick
PA,1,Rick
PA,0,Rick
PA,1,Rick
PA,1,Rick
PA,1,Rick
PA,1,Rick
PA,1,Rick
PA,1,Rick
PA,1,Rick
PA,0,Rick
PA,0,Rick
PA,0,Rick
PA,1,Rick
PA,1,Rick
PA,0,Rick
PA,0,Rick
PA,0,Rick
PA,0,Rick
PA,1,Rick
PA,0,Rick
PA,1,Rick
PA,1,Rick
PA,0,Rick
PA,0,Rick
A25,1,Rick
A25,0,Rick
A25,0,Rick
A25,0,Rick
A25,1,Rick
A25,0,Rick
A25,1,Rick
A25,1,Rick
A25,0,Rick
A25,1,Rick
A25,1,Rick
A25,0,Rick
A25,1,Rick
A25,0,Rick
A25,1,Rick
A25,1,Rick
A25,1,Rick
A25,1,Rick
A25,0,Rick
A25,1,Rick
A25,1,Rick
A25,1,Rick
A25,0,Rick
A25,0,Rick
A25,0,Rick
A25,1,Rick
A25,1,Rick
A25,1,Rick
A25,1,Rick
A25,0,Rick
P12,1,Rick
P12,1,Rick
P12,0,Rick
P12,1,Rick
P12,1,Rick
P12,0,Rick
P12,1,Rick
P12,1,Rick
P12,1,Rick
P12,1,Rick
P12,0,Rick
P12,0,Rick
P12,0,Rick
P12,1,Rick
P12,0,Rick
P12,0,Rick
P12,0,Rick
P12,0,Rick
P12,0,Rick
P12,0,Rick
P12,0,Rick
P12,1,Rick
P12,0,Rick
P12,1,Rick
P12,0,Rick
P12,0,Rick
P12,1,Rick
P12,1,Rick
P12,0,Rick
P12,0,Rick
MP17,1,Ausência 
MP17,0,Ausência 
MP17,0,Ausência 
MP17,1,Ausência 
MP17,1,Ausência 
MP17,0,Ausência 
MP17,0,Ausência 
MP17,1,Ausência 
MP17,0,Ausência 
MP17,0,Ausência 
MP17,1,Ausência 
MP17,1,Ausência 
MP17,0,Ausência 
MP17,0,Ausência 
MP17,1,Ausência 
MP17,1,Ausência 
MP17,0,Ausência 
MP17,0,Ausência 
MP17,1,Ausência 
MP17,1,Ausência 
MP17,1,Ausência 
MP17,1,Ausência 
MP17,0,Ausência 
MP17,1,Ausência 
MP17,1,Ausência 
MP17,1,Ausência 
MP17,0,Ausência 
MP17,0,Ausência 
MP17,1,Ausência 
MP17,0,Ausência 
P9,1,Rick
P9,0,Rick
P9,1,Rick
P9,1,Rick
P9,1,Rick
P9,0,Rick
P9,0,Rick
P9,0,Rick
P9,1,Rick
P9,1,Rick
P9,1,Rick
P9,0,Rick
P9,0,Rick
P9,0,Rick
P9,1,Rick
P9,1,Rick
P9,0,Rick
P9,0,Rick
P9,0,Rick
P9,0,Rick
P9,1,Rick
P9,1,Rick
P9,0,Rick
P9,1,Rick
P9,1,Rick
P9,1,Rick
P9,1,Rick
P9,0,Rick
P9,0,Rick
P9,0,Rick
P10,1,Rick
P10,1,Rick
P10,0,Rick
P10,1,Rick
P10,1,Rick
P10,0,Rick
P10,1,Rick
P10,1,Rick
P10,1,Rick
P10,1,Rick
P10,1,Rick
P10,0,Rick
P10,0,Rick
P10,1,Rick
P10,1,Rick
P10,1,Rick
P10,0,Rick
P10,1,Rick
P10,0,Rick
P10,1,Rick
P10,1,Rick
P10,1,Rick
P10,1,Rick
P10,1,Rick
P10,1,Rick
P10,0,Rick
P10,1,Rick
