linhagem,tamanho_tibia,simbionte
J4,1119,Ausência
J4,1090.6,Ausência
J4,1111.6,Ausência
J4,1187.5,Ausência
J4,1130.3,Ausência
J4,1042.2,Ausência
J4,1026.8,Ausência
J4,951.9,Ausência
J4,1067.6,Ausência
J4,1031.1,Ausência
J4,1004.6,Ausência
J4,1009,Ausência
J4,1088.2,Ausência
J4,963.5,Ausência
J4,1025.9,Ausência
J4,1012.2,Ausência
J4,1040.9,Ausência
J4,880.6,Ausência
J4,943.6,Ausência
J4,1007.2,Ausência
MP17,1090.2,Ausência
MP17,1199.1,Ausência
MP17,1163.1,Ausência
MP17,1266.2,Ausência
MP17,1258.9,Ausência
MP17,1258.6,Ausência
MP17,1142.1,Ausência
MP17,1179.1,Ausência
MP17,974.7,Ausência
MP17,1187.3,Ausência
MP17,1219.4,Ausência
MP17,1196.8,Ausência
MP17,1089.3,Ausência
MP17,866.1,Ausência
MP17,1006.1,Ausência
MP17,1112.5,Ausência
MP17,1204,Ausência
MP17,813.9,Ausência
MP17,1112.5,Ausência
P6,1176.3,Ausência
P6,1286.8,Ausência
P6,1093.8,Ausência
P6,1245.6,Ausência
P6,1267.3,Ausência
P6,1105,Ausência
P6,1140.4,Ausência
P6,1145.7,Ausência
P6,1055.9,Ausência
P6,1059.5,Ausência
P6,1077.4,Ausência
P6,1099.7,Ausência
P6,1108.9,Ausência
P6,1075.4,Ausência
P6,1083.4,Ausência
P6,1076.6,Ausência
P6,1181.8,Ausência
P6,1110.5,Ausência
P6,1129.4,Ausência
P6,1018.8,Ausência
P10,1084.7,Rick
P10,1202,Rick
P10,1227.9,Rick
P10,1107,Rick
P10,1209.8,Rick
P10,1282.9,Rick
P10,1263.7,Rick
P10,1257,Rick
P10,1307.9,Rick
P10,985.5,Rick
P10,1239.7,Rick
P10,1145.7,Rick
P10,1225.6,Rick
P10,1181,Rick
P10,1188.7,Rick
P10,1255.4,Rick
P10,1219.4,Rick
P10,1291.1,Rick
P10,891.1,Rick
P12,1129.2,Rick
P12,1025.1,Rick
P12,1128.7,Rick
P12,1077.3,Rick
P12,1006.8,Rick
P12,1183,Rick
P12,1079.9,Rick
P12,1005.7,Rick
P12,1104.7,Rick
P12,1101.4,Rick
P12,1234.1,Rick
P12,774.5,Rick
P12,876.1,Rick
P12,1068.9,Rick
P12,1091.2,Rick
P12,1123.2,Rick
P12,1177.9,Rick
P12,1109.5,Rick
P12,1138,Rick
P12,1093.4,Rick
P52,1143.8,Rick
P52,1205.7,Rick
P52,820.1,Rick
P52,848.4,Rick
P52,904,Rick
P52,891.9,Rick
P52,1027.9,Rick
P52,858.2,Rick
P52,1334.5,Rick
P52,1169,Rick
P52,1241.6,Rick
P52,1233.9,Rick
P52,1243.4,Rick
P52,1215.5,Rick
P52,1257.5,Rick
P52,1280.9,Rick
P52,832.9,Rick
P52,866.1,Rick
P52,1318.6,Rick
P52,1218.2,Rick
